data_time,tem_max,tem_mean,tem_min
2022/2/9,12.9,12.82249792,12.8
2022/2/10,12.8,12.77542484,12.7
2022/2/11,12.8,12.7373679,12.7
2022/2/12,12.9,12.72166458,12.6667
2022/2/13,12.7,12.63458333,12.5
2022/2/14,12.79,12.56291667,12.4
2022/2/15,12.6733,12.52680417,12.4
2022/2/16,12.6,12.48187708,12.3
2022/2/17,12.5966,12.39722292,12.3
2022/2/18,12.4,12.31019792,12.2
2022/2/19,12.3,12.24729375,12.1
2022/2/20,12.2,12.1154625,12
2022/2/21,12.1,11.9461125,11.8433
2022/2/22,11.9,11.80875,11.8
2022/2/23,11.8,11.70451458,11.5967
2022/2/24,11.7,11.57603958,11.5
2022/2/25,11.7,11.5290375,11.4
2022/2/26,11.9033,11.62791875,11.5
2022/2/27,12,11.66430208,11.5
2022/2/28,11.9433,11.64267083,11.4
2022/3/1,12,11.67352917,11.3
2022/3/2,12,11.72134375,11.4
2022/3/3,12.1,11.81666458,11.5
2022/3/4,12.3,11.9649125,11.7
2022/3/5,12.4,12.0941125,11.8
2022/3/6,12.3733,12.11979375,11.9
2022/3/7,12.3,12.13000208,12
2022/3/8,12.4,12.18610833,12
2022/3/9,12.5767,12.32347292,12.2
2022/3/10,12.8,12.52152917,12.33
2022/3/11,13.56,12.85638958,12.5633
2022/3/12,13.6867,13.21804167,12.7133
2022/3/13,14.13,13.60569375,12.89
2022/3/14,14.0967,13.70465625,13.2033
2022/3/15,13.7,13.49635625,13.2833
2022/3/16,13.5,13.44179231,13.3
