data_time,tem_max,tem_mean,tem_min
2021/9/17,28.7271,28.7271,28.7271
2021/9/18,28.7806,28.51347368,28.2402
2021/9/19,28.7877,28.53639375,28.2209
2021/9/20,29.1212,28.69075652,28.3999
2021/9/21,29.1621,28.81100417,28.5182
2021/9/22,29.1664,28.86597917,28.6292
2021/9/23,29.3045,28.91525106,28.7238
2021/9/24,29.1542,28.85064565,27.844
2021/9/25,29.3486,28.83789583,28.6323
2021/9/26,29.3202,28.83489583,28.6002
2021/9/27,29.3723,28.83081875,28.588
2021/9/28,29.3771,28.92176875,28.6449
2021/9/29,29.5589,29.03958958,28.7688
2021/9/30,29.4928,29.12632292,28.9275
2021/10/1,29.4409,29.12393958,28.9976
2021/10/2,29.3793,29.11296458,28.914
2021/10/3,29.404,29.11551667,28.9309
2021/10/4,29.271,29.03409792,28.8907
2021/10/5,29.0839,28.95770417,28.802
2021/10/6,28.9938,28.856175,28.7203
2021/10/7,28.87,28.7678234,28.5775
2021/10/8,28.737,28.62671042,28.531
2021/10/9,28.67,28.56410625,28.4952
2021/10/10,28.5753,28.46926875,28.3537
2021/10/11,28.4615,28.39485208,28.2988
2021/10/12,28.2751,28.06273333,27.8352
2021/10/13,27.9269,27.70805625,27.4441
2021/10/14,27.7239,27.51571458,27.2872
2021/10/15,27.3789,27.02599375,26.5411
2021/10/16,27.4987,27.09490208,26.5048
2021/10/17,27.3185,27.00661458,26.6805
2021/10/18,27.0162,26.66651875,26.2206
2021/10/19,26.5536,26.36448125,26.0135
2021/10/20,26.3118,25.98392917,25.6552
2021/10/21,25.9005,25.55727917,25.1715
2021/10/22,25.3217,25.05264583,24.7265
2021/10/23,24.9261,24.57907708,24.2869
2021/10/24,24.4488,24.17343958,23.9308
2021/10/25,24.3532,23.98045833,23.7218
2021/10/26,24.231,23.91505625,23.6281
2021/10/27,24.2311,23.88592083,23.6084
2021/10/28,24.1072,23.82987234,23.6215
2021/10/29,23.9713,23.76687021,23.5757
2021/10/30,24.0118,23.8036234,23.5499
2021/10/31,24.1325,23.86757083,23.5153
2021/11/1,23.9786,23.81514167,23.5627
2021/11/2,23.8231,23.6645375,23.5132
2021/11/3,23.7049,23.50105106,23.3324
2021/11/4,23.6099,23.31887708,23.1756
2021/11/5,23.5785,23.259725,23.0352
2021/11/6,23.5224,23.27237083,23.0967
2021/11/7,23.4851,23.25976042,23.0551
2021/11/8,23.4174,23.11161667,22.9593
2021/11/9,22.9565,22.725175,22.5371
2021/11/10,22.7017,22.44768542,22.1607
2021/11/11,22.5194,22.16855625,21.8707
2021/11/12,22.2254,21.99717292,21.7929
2021/11/13,22.0148,21.753825,21.4139
2021/11/14,21.6816,21.51390417,21.1001
2021/11/15,21.4858,21.35090417,21.0836
2021/11/16,21.328,21.14729375,20.9497
2021/11/17,21.1329,20.80889583,20.5017
2021/11/18,20.8942,20.7195625,20.4871
2021/11/19,20.9079,20.79785625,20.6745
2021/11/20,20.9459,20.8471125,20.7161
2021/11/21,21.0857,20.90367917,20.7272
2021/11/22,20.9563,20.77366875,20.4927
2021/11/23,20.6867,20.46436875,20.1592
2021/11/24,20.536,20.23261042,20.0123
2021/11/25,20.3223,20.01700833,19.8207
2021/11/26,20.1954,19.89718958,19.5788
2021/11/27,19.8601,19.64727292,19.4705
2021/11/28,19.6152,19.52305833,19.376
2021/11/29,19.7265,19.56006875,19.3711
2021/11/30,19.7638,19.62526875,19.4921
2021/12/1,19.5275,19.40074375,19.1462
2021/12/2,19.2,19.050125,18.8208
2021/12/3,19.0714,18.76403125,18.5179
2021/12/4,18.9,18.53449375,18.2
2021/12/5,18.6909,18.30122292,18.1
2021/12/6,18.5077,18.19951458,17.9967
2021/12/7,18.496,18.15724375,17.9
2021/12/8,18.2913,18.06005417,17.8
2021/12/9,18.4,18.065225,17.8235
